N,F_单调查表
2001,238
2002,238
2003,238
2004,238
2005,238
2006,239
2007,239
2008,239
2009,239
2010,239
2011,239
2012,239
2013,239
2014,239
2015,239
2016,239
2017,239
2018,239
2019,239
2020,240
2021,240
2022,240
2023,240
2024,240
2025,240
2026,240
2027,240
2028,240
2029,240
2030,240
2031,240
2032,240
2033,240
2034,241
2035,241
2036,241
2037,241
2038,241
2039,241
2040,241
2041,241
2042,241
2043,241
2044,241
2045,241
2046,242
2047,242
2048,242
2049,242
2050,242
2051,242
2052,242
2053,242
2054,242
2055,243
2056,243
2057,243
2058,243
2059,243
2060,243
2061,243
2062,243
2063,244
2064,244
2065,244
2066,244
2067,244
2068,244
2069,244
2070,244
2071,244
2072,244
2073,244
2074,244
2075,244
2076,244
2077,245
2078,245
2079,245
2080,245
2081,245
2082,245
2083,245
2084,245
2085,245
2086,245
2087,245
2088,245
2089,245
2090,245
2091,246
2092,246
2093,246
2094,246
2095,246
2096,246
2097,246
2098,246
2099,246
2100,246
2101,247
2102,247
2103,247
2104,247
2105,247
2106,247
2107,248
2108,248
2109,248
2110,248
2111,248
2112,248
2113,248
2114,248
2115,248
2116,248
2117,248
2118,248
2119,248
2120,249
2121,249
2122,249
2123,249
2124,249
2125,249
2126,249
2127,249
2128,249
2129,249
2130,249
2131,249
2132,249
2133,249
2134,250
2135,250
2136,250
2137,250
2138,250
2139,250
2140,250
2141,250
2142,250
2143,250
2144,250
2145,251
2146,251
2147,251
2148,251
2149,251
2150,251
2151,251
2152,252
2153,252
2154,252
2155,252
2156,252
2157,252
2158,252
2159,252
2160,252
2161,252
2162,252
2163,252
2164,252
2165,253
2166,253
2167,253
2168,253
2169,253
2170,253
2171,253
2172,253
2173,253
2174,253
2175,253
2176,253
2177,253
2178,253
2179,254
2180,254
2181,254
2182,254
2183,254
2184,254
2185,254
2186,254
2187,254
2188,254
2189,254
2190,254
2191,254
2192,254
2193,254
2194,254
2195,254
2196,255
2197,255
2198,255
2199,255
2200,256
2201,256
2202,256
2203,256
2204,256
2205,256
2206,256
2207,256
2208,256
2209,256
2210,256
2211,257
2212,257
2213,257
2214,257
2215,257
2216,257
2217,257
2218,257
2219,257
2220,257
2221,257
2222,257
2223,257
2224,257
2225,258
2226,258
2227,258
2228,258
2229,258
2230,258
2231,258
2232,258
2233,258
2234,258
2235,258
2236,258
2237,258
2238,258
2239,258
2240,258
2241,258
2242,259
2243,259
2244,259
2245,259
2246,259
2247,259
2248,259
2249,259
2250,259
2251,260
2252,260
2253,260
2254,260
2255,260
2256,260
2257,260
2258,260
2259,261
2260,261
2261,261
2262,261
2263,261
2264,261
2265,261
2266,261
2267,261
2268,261
2269,261
2270,261
2271,261
2272,261
2273,262
2274,262
2275,262
2276,262
2277,262
2278,262
2279,262
2280,262
2281,262
2282,262
2283,262
2284,262
2285,262
2286,262
2287,262
2288,262
2289,263
2290,263
2291,263
2292,263
2293,263
2294,263
2295,263
2296,263
2297,263
2298,263
2299,263
2300,264
2301,264
2302,264
2303,264
2304,264
2305,264
2306,264
2307,265
2308,265
2309,265
2310,265
2311,265
2312,265
2313,265
2314,265
2315,265
2316,265
2317,265
2318,265
2319,265
2320,265
2321,266
2322,266
2323,266
2324,266
2325,266
2326,266
2327,266
2328,266
2329,266
2330,266
2331,266
2332,266
2333,266
2334,266
2335,267
2336,267
2337,267
2338,267
2339,267
2340,267
2341,267
2342,267
2343,267
2344,267
2345,267
2346,267
2347,267
