N,F_兵力函数
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,11
89,11
90,11
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,14
102,14
103,14
104,14
105,14
106,14
107,14
108,14
109,14
110,14
111,15
112,15
113,15
114,15
115,15
116,15
117,15
118,15
119,15
120,15
121,16
122,16
123,16
124,16
125,16
126,16
127,16
128,16
129,16
130,16
131,17
132,17
133,17
134,17
135,17
136,17
137,17
138,17
139,17
140,17
141,18
142,18
143,18
144,18
145,18
146,18
147,18
148,18
149,18
150,18
151,20
152,20
153,20
154,20
155,20
156,20
157,20
158,20
159,20
160,20
161,21
162,21
163,21
164,21
165,21
166,21
167,21
168,21
169,21
170,21
171,22
172,22
173,22
174,22
175,22
176,22
177,22
178,22
179,22
180,22
181,23
182,23
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,24
192,24
193,24
194,24
195,24
196,24
197,24
198,24
199,24
200,24
201,26
202,26
203,26
204,26
205,26
206,26
207,26
208,26
209,26
210,26
211,27
212,27
213,27
214,27
215,27
216,27
217,27
218,27
219,27
220,27
221,28
222,28
223,28
224,28
225,28
226,28
227,28
228,28
229,28
230,28
231,29
232,29
233,29
234,29
235,29
236,29
237,29
238,29
239,29
240,29
241,30
242,30
243,30
244,30
245,30
246,30
247,30
248,30
249,30
250,30
251,32
252,32
253,32
254,32
255,32
256,32
257,32
258,32
259,32
260,32
261,33
262,33
263,33
264,33
265,33
266,33
267,33
